example,n_pattern,n_target,k,density,max_multiplicity,approx_time,exact_time,approx_cost,exact_cost,accuracy_ratio,exact_timed_out
test_020_n5_m10_d40_mult4.txt,5,10,2,0.3,2,0.0025419159792363644,,52,,,True
test_020_n5_m10_d40_mult4.txt,5,10,3,0.3,2,0.002175999921746552,,78,,,True
test_020_n5_m10_d40_mult4.txt,5,10,4,0.3,2,0.0022705000592395663,,104,,,True
test_020_n5_m10_d40_mult4.txt,5,10,5,0.3,2,0.002558041946031153,,130,,,True
test_022_n7_m10_d20_mult2.txt,7,10,1,0.3,2,0.002351874951273203,,14,,,True
test_022_n7_m10_d20_mult2.txt,7,10,2,0.3,2,0.0023011660668998957,,28,,,True
test_022_n7_m10_d20_mult2.txt,7,10,3,0.3,2,0.0022168330615386367,,42,,,True
test_022_n7_m10_d20_mult2.txt,7,10,4,0.3,2,0.002381291938945651,,56,,,True
test_022_n7_m10_d20_mult2.txt,7,10,5,0.3,2,0.002658250043168664,,70,,,True
test_026_n7_m10_d50_mult2.txt,7,10,1,0.3,2,0.0022792499512434006,,33,,,True
test_026_n7_m10_d50_mult2.txt,7,10,2,0.3,2,0.002733916975557804,,66,,,True
test_026_n7_m10_d50_mult2.txt,7,10,3,0.3,2,0.002385833067819476,,99,,,True
test_026_n7_m10_d50_mult2.txt,7,10,4,0.3,2,0.0026621249271556735,,132,,,True
test_026_n7_m10_d50_mult2.txt,7,10,5,0.3,2,0.0023094170028343797,,165,,,True
test_029_n5_m10_d20_mult2.txt,5,10,1,0.3,2,0.002688583917915821,,1,,,True
test_029_n5_m10_d20_mult2.txt,5,10,2,0.3,2,0.0030374580528587103,,2,,,True
test_029_n5_m10_d20_mult2.txt,5,10,3,0.3,2,0.0026310839457437396,,3,,,True
test_029_n5_m10_d20_mult2.txt,5,10,4,0.3,2,0.0024310830049216747,,4,,,True
test_029_n5_m10_d20_mult2.txt,5,10,5,0.3,2,0.002609207993373275,,5,,,True
test_022_n5_m11_d30_mult2.txt,5,11,1,0.3,2,0.0022670000325888395,,13,,,True
test_022_n5_m11_d30_mult2.txt,5,11,2,0.3,2,0.002305332920514047,,26,,,True
test_022_n5_m11_d30_mult2.txt,5,11,3,0.3,2,0.00253045791760087,,39,,,True
test_022_n5_m11_d30_mult2.txt,5,11,4,0.3,2,0.002873582998290658,,52,,,True
test_022_n5_m11_d30_mult2.txt,5,11,5,0.3,2,0.002530957921408117,,65,,,True
test_034_n7_m11_d50_mult4.txt,7,11,1,0.3,2,0.00249708304181695,,52,,,True
test_034_n7_m11_d50_mult4.txt,7,11,2,0.3,2,0.0023617499973624945,,104,,,True
test_034_n7_m11_d50_mult4.txt,7,11,3,0.3,2,0.0026929170126095414,,156,,,True
test_034_n7_m11_d50_mult4.txt,7,11,4,0.3,2,0.0022372909588739276,,208,,,True
test_034_n7_m11_d50_mult4.txt,7,11,5,0.3,2,0.002355665899813175,,260,,,True
test_005_n9_m12_d30_mult4.txt,9,12,1,0.3,2,0.002334624994546175,,45,,,True
test_005_n9_m12_d30_mult4.txt,9,12,2,0.3,2,0.0023918329970911145,,90,,,True
test_005_n9_m12_d30_mult4.txt,9,12,3,0.3,2,0.0022245829459279776,,135,,,True
test_005_n9_m12_d30_mult4.txt,9,12,4,0.3,2,0.002390500041656196,,180,,,True
test_005_n9_m12_d30_mult4.txt,9,12,5,0.3,2,0.0026927910512313247,,225,,,True
test_012_n5_m12_d30_mult4.txt,5,12,1,0.3,2,0.0025585419498384,,13,,,True
test_012_n5_m12_d30_mult4.txt,5,12,2,0.3,2,0.0022378340363502502,,26,,,True
test_012_n5_m12_d30_mult4.txt,5,12,3,0.3,2,0.0025770419742912054,,39,,,True
test_012_n5_m12_d30_mult4.txt,5,12,4,0.3,2,0.0025615839986130595,,52,,,True
test_012_n5_m12_d30_mult4.txt,5,12,5,0.3,2,0.0021518749417737126,,65,,,True
test_021_n3_m12_d40_mult1.txt,3,12,1,0.3,2,0.002564165974035859,,3,,,True
test_021_n3_m12_d40_mult1.txt,3,12,2,0.3,2,0.0026226670015603304,,6,,,True
test_021_n3_m12_d40_mult1.txt,3,12,3,0.3,2,0.0022869169479236007,,9,,,True
test_021_n3_m12_d40_mult1.txt,3,12,4,0.3,2,0.0025388329522684216,,12,,,True
test_021_n3_m12_d40_mult1.txt,3,12,5,0.3,2,0.0025329580530524254,,15,,,True
test_023_n3_m12_d50_mult1.txt,3,12,1,0.3,2,0.0024392500054091215,,4,,,True
test_023_n3_m12_d50_mult1.txt,3,12,2,0.3,2,0.002187957987189293,,8,,,True
test_023_n3_m12_d50_mult1.txt,3,12,3,0.3,2,0.00229199999012053,,12,,,True
test_023_n3_m12_d50_mult1.txt,3,12,4,0.3,2,0.00245029095094651,,16,,,True
test_023_n3_m12_d50_mult1.txt,3,12,5,0.3,2,0.0028377079870551825,,20,,,True
test_027_n5_m13_d60_mult4.txt,5,13,1,0.3,2,0.0021647500107064843,,45,,,True
test_027_n5_m13_d60_mult4.txt,5,13,2,0.3,2,0.002288500079885125,,90,,,True
test_027_n5_m13_d60_mult4.txt,5,13,3,0.3,2,0.00227162498049438,,135,,,True
test_027_n5_m13_d60_mult4.txt,5,13,4,0.3,2,0.002457040944136679,,180,,,True
test_027_n5_m13_d60_mult4.txt,5,13,5,0.3,2,0.0022923749638721347,,225,,,True
test_029_n7_m13_d30_mult2.txt,7,13,1,0.3,2,0.0023203750606626272,,24,,,True
test_029_n7_m13_d30_mult2.txt,7,13,2,0.3,2,0.002370000001974404,,48,,,True
test_029_n7_m13_d30_mult2.txt,7,13,3,0.3,2,0.002600541920401156,,72,,,True
test_029_n7_m13_d30_mult2.txt,7,13,4,0.3,2,0.0024902080185711384,,96,,,True
test_029_n7_m13_d30_mult2.txt,7,13,5,0.3,2,0.0026985000586137176,,120,,,True
test_016_n5_m14_d50_mult2.txt,5,14,1,0.3,2,0.002648417023010552,,22,,,True
test_016_n5_m14_d50_mult2.txt,5,14,2,0.3,2,0.0023704590275883675,,44,,,True
